Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,26.4,15.97
60,37.8,21.208
70,50.5,23.686
80,46.4,12.411
90,45.6,8.452
100,41.5,8.273
110,45.4,12.282
120,55.2,17.549
130,58.5,15.409
140,86.3,21.476
150,89.8,14.518
160,60.8,12.975
170,53.5,19.785
180,48.3,17.522
190,47.8,17.48
200,46.3,12.174
210,48.6,9.728
220,48.8,9.25
230,46.0,10.63
240,44.2,12.687
250,52.6,38.032
260,48.9,33.96
270,41.1,14.067
280,50.3,38.745
290,43.7,18.858
300,50.0,38.843
310,48.7,39.279
320,40.8,18.093
330,39.1,16.574
340,38.7,14.547
350,47.0,39.847
360,45.2,38.566
370,46.5,40.068
380,40.5,18.343
390,39.1,14.494
400,33.3,10.612
410,39.5,11.876
420,33.8,8.447
430,32.4,8.697
440,32.9,10.559
450,23.2,12.229
460,25.4,11.534
470,23.8,12.655
480,23.9,12.684
490,32.7,10.854
500,31.4,10.735
510,26.2,10.157
520,24.4,9.287
530,23.3,9.133
540,20.6,9.135
550,20.5,9.33
560,23.7,10.498
570,24.7,10.286
580,24.9,10.464
590,25.9,10.064
600,24.8,10.609
610,28.0,11.009
620,25.3,12.418
630,25.1,12.668
640,23.4,13.455
650,28.6,11.164
660,19.9,10.821
670,11.0,5.177
680,10.1,4.011
690,11.3,6.958
700,23.1,10.425
710,14.2,5.231
720,10.9,1.3
730,10.5,1.118
740,13.9,8.526
750,23.1,12.755
760,23.7,9.768
770,12.1,4.437
780,13.1,5.029
790,23.2,9.704
800,10.0,1.095
810,17.9,9.974
820,21.0,9.327
830,18.5,7.632
840,10.8,3.894
850,11.2,3.97
860,17.7,8.521
870,13.4,1.8
880,12.4,1.356
890,11.9,1.3
900,10.2,1.166
910,15.2,6.145
920,10.7,3.926
930,12.0,4.817
940,10.5,2.802
950,14.8,10.381
960,13.0,7.537
970,21.5,9.902
980,10.8,3.789
990,10.8,3.789
