Episode,mean_score,std_dev
0,9.5,1.5
10,9.5,1.5
20,9.5,1.5
30,9.5,1.5
40,9.5,1.5
50,8.9,0.831
60,8.9,0.831
70,8.9,0.831
80,8.9,0.831
90,14.6,5.083
100,11.6,2.973
110,8.9,0.831
120,13.9,2.809
130,11.4,2.2
140,10.8,1.6
150,14.7,2.532
160,12.6,1.744
170,10.1,1.513
180,11.0,1.414
190,12.0,1.342
200,8.9,0.831
210,11.1,1.375
220,8.9,0.831
230,8.9,0.831
240,9.5,0.806
250,11.0,5.099
260,23.4,8.823
270,18.7,9.012
280,21.7,9.686
290,25.6,9.861
300,24.9,9.984
310,25.7,10.335
320,26.2,10.534
330,25.8,10.39
340,49.5,30.526
350,17.0,8.462
360,19.6,8.417
370,40.2,9.379
380,30.2,12.528
390,31.7,12.985
400,25.1,12.771
410,30.4,12.492
420,28.8,12.655
430,25.8,13.467
440,71.9,40.188
450,24.9,12.526
460,27.6,11.351
470,26.1,10.885
480,31.6,13.514
490,23.6,14.52
500,27.5,14.712
510,30.2,11.78
520,21.7,15.415
530,20.4,13.851
540,20.8,14.246
550,21.0,14.588
560,20.6,14.03
570,21.2,14.777
580,17.9,13.202
590,14.2,10.235
600,17.2,12.156
610,18.8,14.566
620,17.7,12.908
630,23.4,17.425
640,11.2,6.645
650,18.6,14.284
660,23.3,17.17
670,11.2,6.645
680,16.3,10.882
690,23.9,18.069
700,11.6,7.838
710,19.5,15.641
720,11.6,7.499
730,32.8,19.348
740,14.4,10.632
750,20.9,17.773
760,11.6,7.838
770,20.0,16.401
780,11.8,8.436
790,18.5,14.151
800,11.8,8.436
810,18.7,14.423
820,8.9,0.831
830,11.3,6.943
840,21.2,18.214
850,11.2,6.645
860,19.0,14.866
870,12.1,9.332
880,8.9,0.831
890,11.9,8.734
900,16.1,14.032
910,12.7,11.127
920,20.6,13.559
930,16.3,14.395
940,11.2,6.645
950,15.1,12.103
960,14.2,10.371
970,18.0,13.454
980,11.8,8.436
990,12.4,10.229
1000,14.1,10.134
1010,8.9,0.831
1020,21.6,18.832
1030,20.5,13.633
1040,12.4,10.229
1050,23.8,14.435
1060,14.4,10.855
1070,8.9,0.831
1080,13.1,12.324
1090,12.9,11.726
1100,17.6,12.435
1110,8.9,0.831
1120,15.0,11.375
1130,13.2,11.321
1140,11.3,6.943
1150,18.9,14.714
1160,15.1,12.267
1170,27.6,17.528
1180,8.9,0.831
1190,8.9,0.831
1200,8.9,0.831
1210,16.6,14.981
1220,26.5,21.054
1230,8.9,0.831
1240,8.9,0.831
1250,20.2,16.302
1260,18.1,13.917
1270,19.0,14.933
1280,18.8,14.302
1290,12.6,10.161
1300,8.9,0.831
1310,13.2,12.624
1320,12.8,11.426
1330,12.6,10.828
1340,8.9,0.831
1350,8.9,0.831
1360,17.3,15.869
1370,8.9,0.831
1380,26.8,21.461
1390,13.4,7.965
1400,28.3,23.268
1410,8.9,0.831
1420,17.8,26.411
1430,8.9,0.831
1440,27.5,10.471
1450,20.7,17.47
1460,17.0,15.767
1470,8.9,0.831
1480,8.9,0.831
1490,34.2,23.638
1500,8.9,0.831
1510,12.3,9.93
1520,18.2,27.611
1530,8.9,0.831
1540,8.9,0.831
1550,8.9,0.831
1560,12.9,11.726
1570,8.9,0.831
1580,46.5,45.438
1590,16.4,14.568
1600,8.9,0.831
1610,12.4,10.229
1620,11.5,6.888
1630,13.8,9.816
1640,8.9,0.831
1650,8.9,0.831
1660,8.9,0.831
1670,8.9,0.831
1680,20.7,17.453
1690,12.6,10.828
1700,13.0,12.025
1710,8.9,0.831
1720,8.9,0.831
1730,8.9,0.831
1740,18.3,17.378
1750,20.8,15.078
1760,9.0,1.0
1770,8.9,0.831
1780,9.1,1.136
1790,19.2,15.072
1800,10.0,3.098
1810,32.7,23.431
1820,9.2,1.077
1830,23.4,12.729
1840,21.4,18.564
1850,8.9,0.831
1860,44.9,22.696
1870,8.9,0.831
1880,9.0,0.775
1890,8.9,0.831
1900,14.5,8.393
1910,8.9,0.831
1920,15.4,11.011
1930,8.9,0.831
1940,8.9,0.831
1950,8.9,0.831
1960,12.5,7.671
1970,8.9,0.831
1980,8.9,0.831
1990,8.9,0.831
