Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,64.4,39.35
60,20.5,4.272
70,9.4,0.917
80,18.6,4.923
90,16.9,5.088
100,13.3,3.77
110,12.4,3.527
120,19.1,11.571
130,22.4,13.313
140,23.7,15.453
150,27.2,25.69
160,43.3,28.45
170,72.1,35.562
180,51.9,13.042
190,46.2,23.159
200,69.8,40.728
210,82.7,20.475
220,68.0,24.613
230,59.4,29.367
240,53.0,22.773
250,58.3,25.632
260,57.8,25.941
270,58.2,25.81
280,58.1,24.505
290,49.3,28.121
300,39.1,29.787
310,73.2,9.537
320,73.8,9.928
330,78.4,18.31
340,46.3,27.477
350,66.8,20.326
360,77.5,10.538
370,72.6,10.062
380,61.5,24.699
390,75.4,8.212
400,75.2,10.371
410,69.1,18.727
420,91.4,23.724
430,77.3,8.672
440,94.4,34.051
450,61.0,23.537
460,49.4,25.515
470,83.7,19.396
480,101.7,32.429
490,60.0,25.432
500,120.9,36.689
510,64.9,24.724
520,82.9,19.044
530,61.0,26.23
540,99.0,26.473
550,86.6,20.382
560,57.1,28.101
570,64.9,25.133
580,66.3,26.325
590,74.9,21.012
600,89.5,22.575
610,68.8,20.272
620,45.5,28.437
630,64.6,25.893
640,102.4,25.378
650,78.9,20.705
660,85.2,24.343
670,83.5,11.236
680,69.2,22.99
690,90.4,19.52
700,87.8,26.761
710,88.7,27.093
720,104.8,25.705
730,88.0,18.73
740,83.7,10.277
750,101.1,24.44
760,65.7,27.122
770,124.4,33.191
780,117.8,24.153
790,101.2,19.681
800,98.7,28.238
810,80.8,20.937
820,82.8,21.674
830,85.9,10.377
840,93.2,20.663
850,78.2,15.27
860,95.1,26.361
870,100.1,19.212
880,82.5,8.441
890,82.3,9.798
900,92.9,17.421
910,101.8,21.037
920,92.3,16.505
930,92.1,19.832
940,67.8,30.102
950,83.2,9.228
960,82.4,11.491
970,84.2,9.185
980,100.0,23.117
990,88.2,9.389
