Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,44.9,19.639
60,18.3,7.128
70,9.3,0.9
80,21.2,15.164
90,20.6,13.448
100,44.5,19.536
110,47.6,12.948
120,97.2,40.706
130,81.6,31.062
140,60.5,19.689
150,76.0,16.817
160,57.3,29.543
170,84.2,15.835
180,87.4,18.282
190,98.0,22.926
200,77.7,11.679
210,66.1,29.101
220,90.4,20.762
230,91.5,21.28
240,113.7,26.867
250,101.7,26.495
260,124.2,36.745
270,118.4,25.259
280,145.8,34.971
290,166.3,44.457
300,137.4,30.477
310,170.5,55.412
320,185.7,54.688
330,238.0,100.23
340,139.5,47.599
350,166.1,60.039
360,122.4,38.176
370,215.0,134.285
380,169.9,46.218
390,156.2,47.774
400,178.1,53.875
410,99.0,37.409
420,141.1,43.191
430,134.6,26.238
440,144.3,39.598
450,139.1,26.342
460,157.9,56.925
470,142.9,34.714
480,137.6,23.867
490,131.9,27.53
500,158.2,38.434
510,134.4,36.128
520,142.8,43.425
530,154.2,43.22
540,41.9,23.015
550,158.6,68.087
560,203.0,67.862
570,238.4,79.636
580,116.9,33.969
590,106.8,29.765
600,90.8,40.231
610,136.7,50.979
620,204.4,99.496
630,192.1,76.617
640,259.6,97.224
650,75.2,28.16
660,133.0,21.218
670,291.6,124.772
680,122.4,24.957
690,127.6,42.38
700,102.9,24.127
710,174.0,29.134
720,148.3,32.769
730,272.0,74.262
740,74.9,11.371
750,121.4,30.342
760,307.8,93.94
770,186.1,40.83
780,464.4,104.815
790,139.5,30.624
800,180.8,29.899
810,240.5,28.918
820,222.8,52.283
830,170.0,27.1
840,190.5,77.513
850,115.3,42.767
860,65.9,22.488
870,235.1,31.111
880,171.0,54.969
890,149.5,37.662
900,158.6,39.082
910,101.9,32.235
920,132.5,48.825
930,199.7,28.16
940,158.2,43.977
950,70.7,18.117
960,73.8,6.585
970,205.6,33.266
980,103.1,21.769
990,138.1,76.644
1000,132.8,37.167
1010,93.5,42.919
1020,101.4,21.699
1030,257.4,109.547
1040,321.9,147.466
1050,85.4,37.117
1060,179.9,57.406
1070,133.6,18.331
1080,73.0,21.67
1090,74.2,22.413
1100,143.4,35.708
1110,199.1,75.393
1120,28.9,5.412
1130,223.1,58.519
1140,352.4,110.184
1150,84.5,26.055
1160,192.5,30.852
1170,95.7,21.634
1180,185.5,49.326
1190,298.7,85.297
1200,234.2,80.131
1210,204.9,32.291
1220,102.9,27.065
1230,137.9,41.242
1240,420.2,160.023
1250,129.3,41.032
1260,91.6,25.695
1270,229.1,24.898
1280,68.0,5.532
1290,147.0,55.866
1300,127.1,57.925
1310,169.1,81.641
1320,97.1,65.584
1330,145.5,43.056
1340,274.0,77.828
1350,221.3,52.322
1360,151.3,66.803
1370,87.9,41.013
1380,89.2,37.132
1390,104.5,57.148
1400,95.2,34.606
1410,100.9,57.901
1420,105.3,64.772
1430,102.8,33.346
1440,230.3,90.128
1450,75.6,35.305
1460,84.6,44.345
1470,73.0,46.859
1480,147.6,102.985
1490,26.3,3.257
1500,205.6,137.721
1510,217.2,120.156
1520,229.0,124.623
1530,33.5,18.085
1540,199.5,78.673
1550,114.5,58.539
1560,142.2,53.194
1570,47.7,34.992
1580,243.5,209.827
1590,59.4,18.079
1600,180.4,74.571
1610,129.4,31.264
1620,95.4,27.746
1630,126.6,38.849
1640,156.9,51.054
1650,95.5,57.411
1660,98.7,42.036
1670,82.4,17.431
1680,160.9,50.613
1690,94.7,49.512
1700,111.4,40.366
1710,95.1,40.25
1720,94.9,43.284
1730,58.9,22.336
1740,132.8,45.407
1750,265.2,81.057
1760,103.2,16.067
1770,126.6,44.338
1780,134.9,33.032
1790,230.7,84.682
1800,50.6,9.942
1810,88.7,54.02
1820,103.5,59.701
1830,61.6,23.942
1840,37.1,13.315
1850,67.3,27.331
1860,126.3,49.303
1870,60.5,22.673
1880,29.4,8.015
1890,47.3,8.462
1900,42.2,21.075
1910,64.0,20.234
1920,129.0,38.26
1930,70.7,30.087
1940,88.9,49.776
1950,43.1,13.308
1960,93.8,31.012
1970,84.7,25.609
1980,43.1,22.488
1990,46.3,12.1
2000,54.2,11.241
