Episode,mean_score,std_dev
0,9.5,1.5
10,9.5,1.5
20,9.5,1.5
30,9.5,1.5
40,9.5,1.5
50,8.9,0.831
60,8.9,0.831
70,21.5,5.679
80,9.2,1.327
90,12.8,2.358
100,9.6,1.2
110,9.7,0.781
120,9.7,0.781
130,9.7,0.781
140,9.7,0.781
150,22.3,1.552
160,15.5,3.138
170,9.9,0.7
180,10.3,0.9
190,9.7,0.781
200,11.6,1.114
210,8.9,0.831
220,13.3,2.722
230,8.9,0.831
240,8.9,0.831
250,8.9,0.831
260,8.9,0.831
270,8.9,0.831
280,8.9,0.831
290,8.9,0.831
300,8.9,0.831
310,15.1,3.081
320,49.3,20.688
330,17.3,13.214
340,48.8,19.949
350,28.3,12.775
360,127.7,131.948
370,31.8,5.706
380,24.3,4.605
390,17.0,3.033
400,29.6,4.341
410,8.9,0.831
420,9.7,0.781
430,9.7,0.781
440,9.7,0.781
450,9.7,0.781
460,9.7,0.781
470,9.7,0.781
480,8.6,0.663
490,9.7,0.781
500,9.3,0.9
510,23.5,5.025
520,57.1,27.406
530,52.3,12.256
540,44.4,16.883
550,128.0,126.161
560,52.0,13.594
570,62.5,50.784
580,66.0,23.571
590,70.2,41.732
600,76.0,39.263
610,8.9,0.831
620,8.9,0.831
630,9.7,0.781
640,9.7,0.781
650,9.7,0.781
660,9.6,0.8
670,9.7,0.781
680,9.7,0.781
690,9.7,0.781
700,9.7,0.781
710,26.0,9.434
720,16.4,2.538
730,18.7,2.492
740,32.9,7.382
750,53.9,15.293
760,112.7,86.128
770,131.0,129.908
780,99.6,51.303
790,108.4,69.796
800,122.4,99.668
810,30.4,3.8
820,9.8,0.872
830,9.7,0.781
840,8.9,0.3
850,8.5,0.5
860,8.8,0.872
870,9.2,0.872
880,9.3,0.9
890,9.7,0.781
900,9.5,0.922
910,8.9,0.831
920,15.9,3.59
930,77.7,41.531
940,48.1,17.991
950,41.6,15.193
960,44.7,13.1
970,73.8,41.121
980,62.5,25.656
990,45.5,13.193
