Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,26.4,15.97
60,32.0,20.46
70,48.6,21.129
80,41.4,8.639
90,34.9,8.372
100,32.1,8.068
110,28.9,5.822
120,39.2,7.718
130,45.6,7.8
140,44.7,7.295
150,41.6,7.144
160,40.8,7.291
170,42.7,8.439
180,43.9,7.7
190,46.7,8.013
200,50.2,9.453
210,51.0,8.764
220,47.7,9.371
230,50.7,8.521
240,87.4,18.693
250,93.1,25.125
260,68.1,11.166
270,52.6,9.573
280,46.9,9.214
290,40.6,7.736
300,38.9,6.833
310,38.7,6.528
320,39.9,7.19
330,42.3,8.486
340,44.2,10.068
350,48.1,12.605
360,43.9,11.265
370,42.1,9.289
380,41.6,9.002
390,39.7,7.226
400,35.8,6.274
410,36.4,6.946
420,35.3,7.695
430,30.2,9.683
440,29.5,10.151
450,30.5,12.002
460,18.5,15.39
470,34.4,14.228
480,39.8,7.795
490,34.8,6.72
500,27.8,4.4
510,23.8,4.214
520,22.6,3.555
530,25.9,5.612
540,30.1,7.259
550,30.0,10.08
560,33.1,10.242
570,38.3,9.177
580,36.9,8.631
590,33.5,6.438
600,29.8,7.026
610,22.3,3.607
620,20.6,3.904
630,19.9,4.253
640,19.0,4.405
650,19.3,4.337
660,24.3,7.17
670,31.3,7.887
680,33.6,7.297
690,32.5,7.032
700,31.1,6.877
710,30.6,6.902
720,24.5,5.045
730,23.0,4.266
740,26.0,7.071
750,31.5,7.928
760,31.0,7.376
770,28.3,6.943
780,25.0,5.138
790,25.7,5.12
800,25.4,4.841
810,23.0,3.873
820,23.3,4.244
830,28.2,6.853
840,29.9,7.516
850,30.9,7.88
860,28.9,7.092
870,22.6,4.005
880,21.6,3.527
890,21.5,3.557
900,21.3,3.523
910,21.2,3.655
920,21.0,3.873
930,21.0,4.69
940,25.8,7.427
950,27.3,8.695
960,28.0,7.376
970,20.5,4.08
980,20.8,3.842
990,21.1,3.673
