Episode,mean_score,std_dev
0,9.7,0.64
10,9.7,0.64
20,9.7,0.64
30,9.7,0.64
40,9.7,0.64
50,9.7,0.64
60,9.5,0.671
70,9.4,0.663
80,71.0,22.548
90,72.5,19.148
100,35.3,10.296
110,39.1,10.625
120,26.4,11.543
130,25.6,10.883
140,25.0,12.28
150,23.6,11.534
160,29.7,9.371
170,28.0,8.718
180,27.6,8.476
190,26.9,8.08
200,26.8,8.035
210,25.8,7.833
220,25.8,8.908
230,28.4,5.953
240,24.8,8.542
250,25.9,6.891
260,27.8,5.418
270,26.7,4.562
280,26.1,5.356
290,26.6,3.878
300,24.9,6.3
310,24.4,6.003
320,26.4,4.477
330,27.7,5.292
340,25.9,4.415
350,25.7,4.428
360,24.3,5.33
370,24.0,5.196
380,22.7,4.496
390,23.0,4.837
400,24.1,5.718
410,22.3,4.451
420,23.4,5.37
430,24.2,6.013
440,19.9,5.356
450,22.1,4.3
460,25.4,8.393
470,21.4,4.2
480,24.8,7.082
490,25.9,8.871
500,24.5,7.71
510,23.0,8.124
520,25.0,8.234
530,23.8,7.692
540,25.3,8.112
550,23.3,8.427
560,21.7,7.988
570,27.7,15.199
580,30.0,16.248
590,28.5,15.2
600,35.1,16.325
610,29.2,16.762
620,32.7,18.1
630,36.0,24.827
640,28.5,16.206
650,38.4,24.496
660,37.3,24.94
670,30.6,16.372
680,40.4,25.164
690,38.6,24.993
700,40.4,24.981
710,32.1,16.544
720,31.1,16.592
730,37.8,23.916
740,37.8,25.003
750,35.4,25.164
760,38.6,24.901
770,35.7,24.629
780,40.2,25.143
790,41.1,25.473
800,38.1,24.064
810,42.0,24.896
820,39.4,24.524
830,39.6,24.27
840,41.6,25.176
850,38.9,24.267
860,38.2,25.047
870,39.4,24.573
880,37.5,23.474
890,39.1,24.797
900,28.9,14.963
910,38.1,24.423
920,39.7,24.0
930,38.9,24.821
940,39.8,26.091
950,42.5,24.606
960,37.8,24.012
970,37.6,22.272
980,41.4,25.184
990,42.0,24.888
