Episode,mean_score,std_dev
0,9.5,1.5
10,9.5,1.5
20,9.5,1.5
30,9.5,1.5
40,9.5,1.5
50,8.9,0.831
60,8.9,0.831
70,10.9,1.972
80,8.9,0.831
90,23.2,10.018
100,25.8,10.759
110,20.1,6.963
120,20.1,6.963
130,18.3,6.357
140,20.1,6.963
150,21.1,7.543
160,21.1,7.543
170,18.8,7.481
180,23.3,9.067
190,19.3,10.1
200,20.2,10.907
210,47.2,41.916
220,56.1,33.077
230,25.4,10.317
240,20.8,11.444
250,15.7,9.839
260,20.9,14.286
270,16.8,11.548
280,24.7,14.9
290,19.1,15.05
300,28.5,19.33
310,17.2,11.712
320,17.6,12.643
330,20.3,12.345
340,28.8,14.524
350,25.6,24.933
360,16.2,14.169
370,38.6,14.256
380,34.7,18.374
390,28.9,22.629
400,21.4,18.527
410,35.3,20.14
420,36.2,16.969
430,32.3,10.863
440,44.1,17.796
450,16.4,14.61
460,16.5,13.844
470,19.0,15.962
480,13.1,10.719
490,40.4,15.794
500,26.7,13.108
510,18.7,19.168
520,56.4,8.126
530,34.1,22.66
540,16.1,13.967
550,13.7,7.656
560,10.8,2.227
570,15.0,15.78
580,43.8,11.487
590,9.9,1.7
600,20.6,4.984
610,29.1,8.502
620,17.4,5.535
630,23.1,9.565
640,33.0,11.79
650,14.7,5.216
660,9.2,0.98
670,11.7,8.137
680,11.6,7.838
690,23.4,6.296
700,23.0,14.649
710,9.0,1.0
720,36.6,8.605
730,13.6,5.463
740,28.0,12.586
750,28.7,11.9
760,23.9,10.83
770,30.4,8.429
780,42.4,22.078
790,29.0,7.141
800,23.0,5.814
810,44.0,13.631
820,45.9,10.904
830,39.5,11.969
840,33.0,7.694
850,18.3,5.33
860,8.9,0.831
870,27.1,4.571
880,21.8,13.083
890,42.9,9.407
900,45.5,10.288
910,43.9,8.814
920,26.7,4.691
930,15.2,3.516
940,17.4,4.055
950,29.2,6.177
960,13.0,7.071
970,8.9,0.831
980,20.2,3.995
990,58.6,4.821
