Episode,mean_score,std_dev
0,9.5,1.5
10,9.5,1.5
20,9.5,1.5
30,9.5,1.5
40,9.5,1.5
50,8.9,0.831
60,8.9,0.831
70,8.9,0.831
80,8.9,0.831
90,14.8,4.956
100,15.2,4.261
110,8.9,0.831
120,13.1,2.982
130,12.5,2.766
140,12.1,2.166
150,13.6,2.498
160,11.7,2.002
170,11.3,2.1
180,13.3,1.487
190,10.1,1.513
200,11.6,1.2
210,17.7,2.685
220,9.8,1.249
230,9.1,1.136
240,21.1,6.992
250,21.3,6.694
260,11.9,3.936
270,21.9,7.049
280,22.4,7.889
290,21.9,7.726
300,21.7,7.114
310,23.5,8.441
320,22.4,8.052
330,36.4,8.176
340,31.8,9.293
350,31.1,8.324
360,35.0,7.887
370,34.8,7.639
380,36.3,8.088
390,32.3,8.877
400,31.7,8.707
410,35.3,6.435
420,31.2,8.388
430,37.2,8.158
440,38.5,8.041
450,38.0,7.376
460,34.3,5.622
470,32.8,9.304
480,31.5,8.465
490,37.1,8.455
500,30.1,11.92
510,34.4,10.298
520,35.4,10.883
530,42.5,7.89
540,26.8,10.342
550,31.1,9.638
560,52.2,24.742
570,27.8,10.916
580,35.4,9.372
590,40.6,8.102
600,31.1,10.775
610,27.9,11.211
620,35.6,8.593
630,31.6,10.49
640,25.5,12.363
650,38.2,7.125
660,36.3,5.496
670,25.3,12.657
680,25.2,12.592
690,27.6,11.047
700,30.6,13.208
710,30.7,12.908
720,30.6,12.839
730,38.8,10.147
740,31.2,13.014
750,17.3,11.637
760,41.2,5.075
770,41.7,5.622
780,28.3,14.92
790,31.7,10.179
800,30.0,12.442
810,44.8,5.056
820,30.0,12.665
830,41.8,5.307
840,36.5,13.426
850,24.3,11.833
860,43.6,4.587
870,31.4,16.984
880,49.9,5.375
890,38.6,14.277
900,31.8,17.543
910,49.7,5.569
920,50.0,5.797
930,42.0,16.48
940,19.2,14.952
950,51.0,5.71
960,32.2,18.734
970,41.2,5.134
980,45.3,4.428
990,35.7,14.967
