Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,34.2,18.384
60,46.2,11.098
70,25.7,3.77
80,13.8,2.713
90,16.3,2.61
100,9.2,0.872
110,13.6,2.458
120,18.4,3.747
130,14.1,2.948
140,17.1,4.437
150,16.7,4.734
160,21.1,6.891
170,28.8,18.777
180,37.9,21.584
190,32.5,27.764
200,42.8,29.768
210,39.2,33.713
220,57.5,24.496
230,54.8,34.519
240,18.6,2.615
250,19.4,9.769
260,15.9,7.006
270,32.9,32.266
280,35.1,17.88
290,36.0,30.961
300,41.8,11.652
310,57.8,35.496
320,28.1,23.253
330,63.6,21.124
340,51.7,24.556
350,55.4,20.412
360,38.6,25.535
370,53.5,18.678
380,77.5,27.761
390,58.9,11.184
400,52.8,18.258
410,59.6,28.734
420,84.6,33.26
430,56.5,17.247
440,60.1,19.608
450,71.1,18.207
460,55.2,25.443
470,70.0,18.831
480,74.9,29.283
490,70.7,11.411
500,59.3,10.08
510,76.2,22.653
520,78.6,30.213
530,68.2,22.266
540,76.9,8.408
550,102.3,20.323
560,90.4,15.749
570,83.1,16.598
580,75.1,10.867
590,93.5,16.188
600,94.0,15.317
610,77.9,13.375
620,81.8,15.085
630,81.0,15.401
640,86.3,14.079
650,73.4,9.656
660,105.5,22.774
670,75.3,9.1
680,102.2,22.049
690,107.3,30.401
700,120.3,29.97
710,81.2,13.083
720,78.4,10.161
730,90.3,12.642
740,76.0,6.588
750,83.4,10.002
760,86.6,14.044
770,121.3,29.408
780,132.7,34.156
790,94.6,25.629
800,74.3,10.517
810,93.8,22.072
820,81.9,14.017
830,149.4,28.051
840,132.9,45.615
850,136.3,43.779
860,133.2,23.082
870,122.5,24.295
880,140.6,44.592
890,139.6,33.536
900,80.4,18.018
910,243.6,117.592
920,168.4,55.004
930,163.3,47.2
940,135.3,29.84
950,106.7,23.242
960,193.7,61.141
970,242.9,82.377
980,247.3,83.721
990,219.3,69.469
