Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,10.9,3.419
60,16.5,5.123
70,13.0,2.324
80,13.3,3.551
90,42.9,27.49
100,65.0,30.047
110,75.3,15.179
120,135.1,43.915
130,68.4,21.671
140,77.1,8.276
150,63.0,28.754
160,46.6,30.949
170,72.3,8.075
180,77.8,11.071
190,74.4,11.155
200,83.1,7.355
210,92.1,30.138
220,91.6,22.46
230,89.8,13.593
240,77.2,7.833
250,76.9,6.906
260,113.1,24.672
270,103.9,32.913
280,80.2,7.277
290,88.6,19.749
300,107.1,23.463
310,85.4,13.306
320,170.3,67.44
330,173.3,50.567
340,94.5,17.996
350,133.3,28.799
360,127.2,22.162
370,169.3,32.203
380,110.9,11.318
390,113.0,20.909
400,164.3,48.724
410,131.2,26.018
420,136.1,31.668
430,157.2,41.545
440,126.5,21.087
450,131.2,29.274
460,121.9,16.688
470,111.3,22.235
480,148.2,35.071
490,110.2,25.876
500,86.5,21.229
510,97.5,26.303
520,131.6,19.607
530,110.8,19.934
540,118.4,23.2
550,115.7,29.37
560,127.3,14.792
570,113.5,23.496
580,118.0,22.365
590,90.7,19.667
600,129.6,19.876
610,98.4,27.387
620,141.7,30.63
630,187.0,50.772
640,192.6,57.046
650,301.8,156.398
660,91.8,28.934
670,123.0,51.468
680,116.0,27.528
690,105.4,31.573
700,83.0,33.956
710,81.8,26.328
720,183.8,164.605
730,119.6,23.178
740,62.1,19.264
750,27.9,5.467
760,192.7,113.682
770,190.4,55.525
780,137.2,36.802
790,163.5,40.91
800,368.2,144.105
810,207.6,58.308
820,130.0,27.339
830,320.0,111.563
840,171.7,49.147
850,110.9,55.157
860,84.9,36.828
870,126.8,33.277
880,150.4,30.952
890,131.7,34.994
900,191.5,47.506
910,218.8,56.501
920,101.5,16.132
930,149.1,50.7
940,174.0,46.104
950,158.7,36.81
960,266.7,27.452
970,183.1,56.3
980,125.7,28.029
990,180.9,45.562
