Episode,mean_score,std_dev
0,9.5,1.5
10,9.5,1.5
20,9.5,1.5
30,9.5,1.5
40,8.9,0.831
50,9.5,1.857
60,11.3,2.1
70,26.7,5.178
80,31.5,7.228
90,34.3,9.849
100,32.0,9.98
110,9.7,0.781
120,9.7,0.781
130,9.7,0.781
140,9.7,0.781
150,9.7,0.781
160,9.7,0.781
170,9.7,0.781
180,9.7,0.781
190,9.7,0.781
200,9.7,0.781
210,8.9,0.831
220,8.9,0.831
230,8.9,0.831
240,8.9,0.831
250,8.9,0.831
260,12.9,7.449
270,9.7,2.41
280,9.7,2.41
290,9.1,1.221
300,9.9,2.663
310,45.0,11.428
320,9.7,0.781
330,14.6,7.605
340,11.6,5.161
350,11.1,3.673
360,12.7,5.46
370,12.4,4.841
380,12.2,4.423
390,9.7,0.781
400,15.5,6.845
410,9.1,0.943
420,8.9,0.831
430,8.9,0.831
440,8.9,0.831
450,12.4,7.965
460,17.2,17.005
470,9.9,3.448
480,13.3,11.27
490,10.3,4.076
500,9.7,2.41
510,58.6,17.906
520,56.8,43.053
530,148.6,25.757
540,166.9,22.309
550,135.6,79.388
560,56.2,11.241
570,21.8,8.244
580,22.4,3.929
590,25.5,5.572
600,29.2,10.419
610,9.5,0.806
620,9.7,0.781
630,9.7,0.781
640,16.5,13.283
650,12.1,10.034
660,13.5,12.659
670,10.5,2.156
680,9.6,2.289
690,14.0,14.142
700,11.2,5.946
710,34.5,14.569
720,36.7,19.91
730,28.5,7.379
740,40.5,19.433
750,52.4,40.068
760,55.4,39.649
770,144.0,57.704
780,148.7,28.369
790,239.3,157.045
800,50.9,5.629
810,9.4,0.8
820,9.7,0.781
830,9.7,0.781
840,9.7,0.781
850,9.7,0.781
860,9.7,0.781
870,9.5,0.922
880,9.7,0.781
890,9.7,0.781
900,9.5,0.922
910,38.7,21.265
920,34.1,17.813
930,40.0,32.044
940,37.0,15.06
950,39.3,23.126
960,38.6,16.475
970,41.3,15.073
980,47.9,13.149
990,52.7,12.345
