Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,54.0,15.146
60,16.0,3.376
70,14.3,2.648
80,19.3,4.314
90,17.9,4.571
100,18.1,5.941
110,31.2,15.065
120,42.2,31.67
130,54.4,42.017
140,29.7,6.001
150,32.6,29.85
160,105.9,42.425
170,84.3,40.529
180,115.5,45.715
190,109.9,50.348
200,82.8,39.038
210,9.4,0.663
220,9.4,0.663
230,28.4,5.389
240,9.4,0.663
250,9.4,0.663
260,8.9,0.7
270,9.4,0.663
280,9.4,0.663
290,9.4,0.663
300,9.4,0.663
310,9.4,0.663
320,10.1,0.943
330,9.4,0.663
340,9.5,0.806
350,9.4,0.663
360,9.8,1.536
370,11.9,2.427
380,10.4,3.262
390,13.2,3.059
400,9.7,1.269
410,21.4,6.636
420,11.0,3.0
430,15.6,7.486
440,24.1,16.146
450,25.9,23.767
460,39.8,28.113
470,32.6,29.486
480,34.8,31.761
490,39.8,36.177
500,42.5,47.534
510,47.9,33.36
520,42.4,30.054
530,37.4,28.918
540,42.3,22.217
550,37.8,24.502
560,37.9,19.639
570,40.1,17.19
580,37.9,16.306
590,34.0,14.394
600,34.3,17.211
610,45.2,17.887
620,30.7,6.972
630,39.4,18.874
640,58.9,22.906
650,52.1,23.18
660,11.4,1.02
670,58.4,32.567
680,12.0,1.0
690,96.0,19.519
700,89.5,24.084
710,71.8,8.232
720,9.4,0.663
730,49.7,36.258
740,9.8,0.872
750,105.6,32.268
760,10.9,0.831
770,12.3,2.41
780,9.8,1.249
790,9.8,0.872
800,19.5,23.513
810,19.4,4.005
820,9.2,0.872
830,9.2,0.872
840,9.2,0.872
850,9.2,0.872
860,9.2,0.872
870,9.2,0.872
880,9.2,0.872
890,8.9,0.7
900,8.9,0.7
910,9.3,0.64
920,8.9,0.7
930,9.3,0.64
940,8.9,0.7
950,8.9,0.7
960,8.9,0.7
970,9.2,0.872
980,8.8,0.6
990,8.8,0.6
