Episode,mean_score,std_dev
0,39.9,18.833
10,39.9,18.833
20,39.9,18.833
30,39.9,18.833
40,93.5,21.616
50,13.8,11.565
60,23.1,13.375
70,11.7,2.532
80,13.4,4.079
90,11.9,2.3
100,11.5,1.857
110,12.0,2.236
120,11.3,2.002
130,11.0,1.949
140,10.9,2.022
150,10.9,2.022
160,11.5,1.962
170,10.6,1.625
180,10.1,1.044
190,9.4,0.663
200,12.3,3.1
210,9.9,0.943
220,10.3,1.552
230,10.3,1.345
240,11.3,1.735
250,10.5,1.803
260,12.4,3.666
270,10.8,1.6
280,9.4,0.663
290,9.4,0.663
300,12.0,3.162
310,9.4,0.663
320,11.9,1.921
330,14.1,2.7
340,12.1,1.578
350,9.4,0.663
360,9.4,0.663
370,9.4,0.663
380,10.3,1.9
390,12.5,2.062
400,11.8,1.99
410,11.3,2.283
420,10.3,2.1
430,14.8,4.556
440,17.6,3.527
450,15.1,2.468
460,18.5,3.294
470,16.0,2.53
480,13.9,1.64
490,17.1,2.844
500,12.2,2.04
510,10.1,1.7
520,9.8,0.872
530,10.6,2.2
540,9.8,0.872
550,9.4,0.663
560,15.8,2.272
570,11.1,1.814
580,9.4,0.663
590,17.7,2.685
600,9.6,0.917
610,9.4,0.663
620,9.4,0.663
630,10.6,1.02
640,11.0,0.894
650,11.8,1.72
660,9.4,0.663
670,23.5,7.352
680,13.5,1.688
690,13.3,1.792
700,19.7,3.035
710,11.5,2.46
720,22.2,6.882
730,9.4,0.663
740,14.9,2.809
750,12.7,1.345
760,11.4,2.245
770,17.4,2.538
780,19.4,3.583
790,18.8,6.925
800,9.4,0.663
810,17.6,2.905
820,9.4,0.663
830,22.3,6.914
840,10.7,0.781
850,13.7,3.874
860,10.0,0.894
870,17.1,3.081
880,10.9,1.044
890,15.4,3.611
900,14.1,2.7
910,18.8,4.094
920,15.4,2.577
930,15.0,2.049
940,15.4,2.939
950,10.8,2.441
960,18.2,3.919
970,13.5,3.801
980,25.1,7.314
990,10.3,1.1
