Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,26.4,15.97
60,29.7,20.616
70,43.7,21.689
80,40.3,8.026
90,32.8,7.652
100,32.1,7.956
110,28.3,6.067
120,22.7,5.197
130,19.9,4.158
140,11.4,1.855
150,9.2,0.872
160,9.2,0.872
170,17.8,5.016
180,30.5,7.697
190,31.7,7.682
200,24.1,7.19
210,21.8,4.445
220,23.0,4.817
230,23.9,5.319
240,29.4,7.324
250,34.5,7.801
260,38.1,11.571
270,37.9,11.623
280,34.7,8.063
290,36.0,9.099
300,37.5,9.552
310,37.5,9.552
320,39.0,11.584
330,39.9,11.554
340,36.6,9.635
350,46.0,25.357
360,42.6,19.891
370,50.1,22.735
380,50.5,18.938
390,54.8,20.079
400,53.5,19.096
410,56.2,26.668
420,65.1,26.036
430,30.5,11.96
440,32.7,12.861
450,47.5,11.552
460,78.0,31.26
470,77.1,28.476
480,89.1,20.801
490,34.7,11.358
500,27.9,10.271
510,58.3,30.146
520,76.1,26.425
530,53.1,11.7
540,38.0,8.775
550,68.4,11.8
560,71.6,13.987
570,60.9,19.568
580,57.0,13.319
590,69.0,18.926
600,65.5,14.137
610,71.3,11.109
620,67.1,25.863
630,59.7,30.463
640,55.1,24.692
650,60.3,17.228
660,41.5,13.025
670,61.4,11.2
680,63.8,12.352
690,87.8,16.863
700,64.2,19.457
710,55.6,12.225
720,61.3,8.649
730,59.2,8.364
740,52.7,6.262
750,54.9,13.126
760,58.3,9.187
770,32.8,14.824
780,24.7,13.943
790,35.4,15.97
800,39.7,30.861
810,42.3,19.601
820,72.0,42.666
830,51.2,14.675
840,58.9,7.203
850,54.9,13.065
860,36.7,10.469
870,42.3,17.516
880,53.0,26.922
890,56.4,13.771
900,53.3,17.234
910,52.6,16.752
920,42.7,15.524
930,41.2,15.709
940,54.2,26.495
950,44.0,16.929
960,40.8,12.424
970,37.4,19.278
980,35.4,19.795
990,42.3,29.543
