Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,26.4,15.97
60,29.7,20.616
70,43.7,21.689
80,40.3,8.026
90,31.8,7.507
100,24.7,4.473
110,20.7,4.196
120,21.1,4.036
130,19.4,4.03
140,18.7,3.926
150,9.2,0.872
160,9.2,0.872
170,9.2,0.872
180,11.4,1.908
190,17.9,3.727
200,20.3,4.473
210,16.1,3.534
220,15.2,3.124
230,17.0,3.464
240,15.1,3.27
250,14.1,2.468
260,16.1,3.618
270,16.2,3.628
280,15.3,3.822
290,13.6,2.973
300,15.4,4.317
310,17.9,4.592
320,20.5,6.021
330,23.0,6.885
340,22.3,7.403
350,22.6,7.297
360,18.9,5.924
370,21.8,7.756
380,31.0,23.829
390,25.4,10.151
400,26.1,9.762
410,24.0,10.733
420,24.2,11.277
430,24.0,8.509
440,27.2,10.703
450,34.7,25.068
460,33.4,21.327
470,40.0,27.107
480,36.8,20.999
490,32.0,10.761
500,28.0,10.592
510,35.4,20.136
520,42.4,22.659
530,33.0,11.045
540,31.8,10.41
550,33.4,10.239
560,37.4,11.164
570,75.2,45.352
580,45.2,43.886
590,17.1,5.839
600,37.7,33.619
610,28.2,14.127
620,32.6,11.595
630,41.1,11.887
640,41.4,12.184
650,49.0,25.369
660,48.9,37.219
670,46.5,24.122
680,43.1,14.883
690,40.7,13.748
700,56.5,22.513
710,74.0,30.764
720,69.8,27.407
730,72.9,34.654
740,80.4,32.197
750,46.9,17.79
760,72.0,34.69
770,61.9,19.357
780,76.0,43.861
790,80.6,34.774
800,77.5,52.521
810,68.2,12.82
820,66.0,20.425
830,79.7,42.176
840,68.7,23.963
850,81.3,35.671
860,75.1,21.819
870,91.3,7.887
880,107.5,14.396
890,106.0,39.395
900,64.4,26.062
910,62.7,18.773
920,70.1,20.032
930,105.0,25.405
940,85.0,21.429
950,115.1,27.311
960,93.7,29.769
970,119.5,25.664
980,139.8,29.185
990,139.8,22.741
